gene	logFC	pval	adj_pval
FAM82A	-1.03174138002431	1.18546914109437e-20	1.68290129049475e-19
FAM83D	2.47847542538704	1.83579919658401e-38	2.93939694437663e-36
FAM83F	-1.21337433452346	9.92466667596957e-29	4.54026234857817e-27
FAM83H	1.04898901752941	7.85002037457242e-21	1.14564889813655e-19
FAM99A	-2.28563256402074	2.24016536629897e-22	4.09026685083448e-21
FAM9B	-1.64511597406082	1.21162632738918e-10	4.71291791723538e-10
FANCD2	1.0298122757054	7.40332206460466e-22	1.25412125147301e-20
FANCE	1.1395062527248	2.28904645952516e-19	2.69570025770954e-18
FANCG	1.16985414083756	1.04275887806223e-28	4.74426798838588e-27
FANCI	1.39466584644491	6.26541252360085e-33	5.06464317199035e-31
FAP	1.29746491359982	2.52135567216953e-06	5.98085678817195e-06
FAS	-1.05851542307051	2.89487237297328e-12	1.34501715275533e-11
FASN	1.0156573212962	8.12829025766751e-24	1.83653038494816e-22
FAT4	-1.01818395494558	2.8253714815765e-19	3.28777679323633e-18
FBLN5	-1.7614639864246	5.2203627528096e-17	4.41714840242812e-16
FBP1	-1.30324237987314	7.22174494286757e-20	9.15891064650653e-19
FBXL18	1.07113537203549	9.18778366308877e-29	4.24986037660428e-27
FBXO27	1.01847846130333	2.01817807686145e-10	7.63441647794114e-10
FBXO32	1.01761769323463	1.36784842708621e-10	5.29460995068331e-10
FBXO43	2.0158875556846	5.24952924903878e-28	2.14779265491385e-26
FCER1A	-1.73194468217695	1.94594595313721e-16	1.53645765820961e-15
FCGR2B	-3.17448895920322	1.23212094935984e-33	1.11506945917066e-31
FCGR3A	-1.35883274524682	5.42359423796912e-22	9.40767617194393e-21
FCGR3B	-1.37714899728748	2.02566005491932e-11	8.59834087038404e-11
FCN2	-5.84518773227145	2.23528916731992e-55	4.65275440177641e-52
FCN3	-5.45136688501473	6.05500191233397e-52	8.40232432034877e-49
FCRL3	-1.33411273971333	2.58111843741889e-09	8.60820833564979e-09
FCRL5	-1.08801548626532	2.07316673072445e-11	8.77985055951769e-11
FDPS	1.11748343828411	6.32340112127403e-35	6.70683283257676e-33
FEN1	1.33852301915325	4.77106145983844e-27	1.68321430994131e-25
FETUB	-1.5275005717014	2.52308170855462e-10	9.45630353609084e-10
FEZ1	-2.08249189086848	4.82073076689441e-37	6.57990235494474e-35
FGF23	-3.26942216471823	7.62445346688331e-31	4.70231107890892e-29
FGFR2	-1.52281185920246	1.51355325956276e-10	5.83283704657236e-10
FGL2	-1.27265376627267	4.21080794298053e-21	6.39182988755804e-20
FHL1	-1.03787454782295	2.57690479384962e-19	3.01762437603262e-18
FHL2	-1.30236504946978	1.75266892378632e-09	5.96229681693357e-09
FIGNL1	1.20561902092527	7.10645404580993e-29	3.32406384187716e-27
FILIP1L	-1.10633159890787	2.89748391548142e-17	2.54209178928328e-16
FLAD1	1.0503429545373	5.49082126077694e-28	2.2355294776151e-26
FLRT2	-1.78481069082124	2.30425297372357e-14	1.39119265149049e-13
FLVCR1	1.70263813075563	6.72843879113377e-33	5.38663282451729e-31
FMO2	-1.44925921390257	9.40650177090315e-18	8.86959612055941e-17
FMOD	-1.44554341580907	8.19675015120344e-12	3.62818403822009e-11
FNDC4	-1.45179923956943	1.01107720032727e-18	1.0918584656193e-17
FNDC5	-1.41685631219046	3.10828678184549e-09	1.02757973975166e-08
FOLH1	-1.68540783466474	7.0463423632599e-20	8.95009100175468e-19
FOS	-2.09930866631486	2.4250527019407e-25	6.77549959609338e-24
FOSB	-2.7211927060956	2.19651689675136e-29	1.10502717113908e-27
FOSL1	-1.26606956010977	2.88945389631795e-16	2.21933516058517e-15
FOXD2	1.62392661505871	1.10876782867454e-21	1.8389643309849e-20
FOXF1	-2.00495274422749	5.37636910062663e-27	1.88876156674335e-25
FOXM1	2.9910264720653	7.33981804035153e-45	2.98104024409594e-42
FOXN4	2.21119880749739	1.30704968644302e-16	1.05655297954608e-15
FPR1	-2.01257990979678	3.68807299105547e-30	2.05397295809551e-28
FPRL1	-2.31752501174538	2.04252162101522e-29	1.03695335466907e-27
FPRL2	-1.07915923230809	1.61554657619031e-14	9.96742556010414e-14
FREM1	-1.02632646987858	5.4527121538487e-17	4.59972455855565e-16
FREM2	-3.23254984421521	6.41289587899087e-26	1.90692039601707e-24
FSTL4	1.27176496403141	2.68750034683939e-16	2.07667080165056e-15
FTCD	-1.24066849071374	1.26762039849646e-15	8.97521117724215e-15
FUT2	1.25465564901793	2.58867371342284e-11	1.08580843012386e-10
FXYD1	-1.79680366977416	5.34007995452553e-15	3.50642789443056e-14
FXYD6	-1.16828921603357	3.30402260727938e-17	2.8745341931252e-16
FYN	-1.08735098286106	1.02164732266767e-22	1.94428242480708e-21
FZD1	-1.11549312412833	4.06678723971634e-16	3.06571059800045e-15
G6PD	1.12381106554224	5.22997491759366e-15	3.43819748629173e-14
GABARAPL1	-1.05964901906267	1.35128685723943e-22	2.53396720121069e-21
GABARAPL3	-1.7549787142333	5.45282227710541e-22	9.44853242022469e-21
GABRB3	-1.91439534472321	1.38118882498928e-18	1.46587357002686e-17
GABRD	1.22346233273353	3.0138711395573e-30	1.68979738100701e-28
GABRE	1.31945808347709	2.44492075887268e-12	1.1474864846885e-11
GABRP	-2.59109434134058	4.27445314830856e-28	1.77945484564085e-26
GADD45B	-1.79616520067442	9.55592567940245e-29	4.39572581252513e-27
GADD45G	-1.55951976078831	4.06029432263293e-18	3.98655784554738e-17
GAGE2	1.51123065967772	5.64350196710912e-07	1.44355752313827e-06
GAGE3	2.04003799102588	1.89871654594579e-09	6.43153537898481e-09
GAGE4	2.03309445717854	7.24250297886575e-09	2.28976950074184e-08
GAGE5	2.03839022124763	7.11725864195746e-09	2.25188278369515e-08
GAGE6	2.02442707901129	8.64119157075427e-09	2.70832151395069e-08
GAGE7	2.06776480649119	5.23280230295168e-09	1.6851019908867e-08
GAGE7B	2.041247682324	9.82324253446363e-09	3.05918177053491e-08
GAGE8	1.51974244745444	5.47746006164924e-07	1.4038889479234e-06
GALNT14	-1.51784998319016	1.20552357306487e-32	9.42459086322823e-31
GALNT3	-1.13224192663485	3.74147224415508e-16	2.84099388096992e-15
GAS1	-2.10479396913024	3.1668792715767e-22	5.67041651938659e-21
GAS2L3	1.03449548640857	1.90813666066736e-18	1.97355848903309e-17
GATA3	-1.41010719312577	2.47269144858385e-18	2.50001566495557e-17
GBA	1.08373286529283	5.0896947668813e-30	2.75174017071777e-28
GBA3	-2.25984364492197	2.58730228696836e-16	2.00296409496035e-15
GBP7	-1.53130332893369	7.31815093702978e-10	2.59556654746368e-09
GCDH	-1.24291627578421	3.6315066351257e-22	6.41951682464046e-21
GCGR	-1.58595568573918	1.35798682013595e-15	9.60220659401435e-15
GCH1	-1.1155281323404	5.66871287164819e-29	2.70473944809988e-27
GCKR	-1.42849708971914	3.18564898967503e-18	3.1745916801956e-17
GCNT3	1.22343379047068	2.28962143853136e-08	6.85856740320635e-08
GDA	-1.2443042737606	2.93873183646319e-09	9.73846020712141e-09
GDF2	-1.54146355655146	2.70309531270457e-44	9.78520503199054e-42
GDF6	-1.22729343600501	1.2097200220969e-09	4.19672037665781e-09
GDPD1	1.0078787739171	6.26552963937816e-21	9.29456938464215e-20
GEM	-1.47181303636853	1.93360478901223e-11	8.23665511786101e-11
GFPT2	-1.46025527423013	1.79135099409942e-11	7.66827165906003e-11
GFRA1	-1.78505766923458	2.19245801229213e-14	1.32878286014218e-13
GGT6	-1.92638805989071	5.89573923125473e-21	8.78924348064939e-20
GGTLA1	-2.05736469278205	4.32463989018385e-28	1.79585794142996e-26
GHR	-1.64560771888562	8.52479132469685e-20	1.06253611630877e-18
